,Week_ID,Year,Away_Team,Away_Score,Home_Team,Home_Score,Favored_Team,Vegas_Line,Away_PPG_ma,Away_FD_ma,Away_RYPG_ma,Away_PYPG_ma,Away_TO_ma,Away_PPGA_ma,Away_FDA_ma,Away_RYPGA_ma,Away_PYPGA_ma,Away_TOA_ma,Away_Win_Rate,Home_PPG_ma,Home_FD_ma,Home_RYPG_ma,Home_PYPG_ma,Home_TO_ma,Home_PPGA_ma,Home_FDA_ma,Home_RYPGA_ma,Home_PYPGA_ma,Home_TOA_ma,Home_Win_Rate,Away_Elo,Home_Elo,CF_Result,Point_Differential
294,294,2003,6,31,7,10,6,-6.5,12.0,19.25,96.25,222.25,1.25,7.25,15.0,117.75,144.25,2.25,0.625,27.5,19.25,124.75,241.5,2.0,21.25,17.0,137.5,203.5,2.75,0.5,1688.3826932581787,1598.0313482450726,0.36949819326400757,21
295,295,2003,2,13,27,20,2,-7.5,20.75,18.0,123.75,171.5,2.5,19.5,18.5,95.5,192.5,2.75,0.625,11.25,17.75,95.0,182.75,3.25,33.5,19.25,140.25,207.75,0.5,0.125,1671.438729183157,1306.5539877015594,0.5426013469696045,-7
296,296,2003,24,24,29,21,29,-1.5,27.25,20.5,129.5,264.25,3.25,20.5,17.75,65.5,276.0,2.0,0.625,23.75,21.25,170.75,217.0,2.25,17.0,11.5,65.25,133.0,2.25,0.625,1569.7974996338485,1472.4925789396173,0.6657706499099731,3
297,297,2003,30,23,21,24,21,-3.0,20.25,18.0,45.0,246.75,3.75,24.25,20.0,147.5,214.25,1.75,0.375,31.5,23.25,136.0,258.0,1.0,12.0,19.75,73.5,259.0,4.0,0.75,1415.1898804642544,1506.9754349785603,0.3935675024986267,-1
298,298,2003,5,24,16,10,16,-1.5,23.0,17.0,172.75,157.5,2.5,23.75,18.5,96.5,183.75,1.75,0.5,19.25,19.0,105.25,227.75,1.25,29.75,24.0,136.0,298.75,1.5,0.125,1457.0815881535827,1434.6623508391906,0.756683886051178,14
299,299,2003,12,13,31,12,31,-7.0,14.25,15.75,102.5,154.75,2.5,17.75,16.0,165.25,152.25,2.25,0.5,27.5,20.75,152.25,214.75,1.75,19.75,14.75,71.5,141.5,3.25,0.5,1491.470677585675,1592.8755643963816,0.9353418946266174,1
300,300,2003,4,7,20,17,20,-3.0,24.0,20.75,73.0,227.5,2.75,9.0,17.25,100.75,165.75,2.25,0.625,20.5,17.5,149.5,169.25,1.5,19.5,18.5,98.25,271.75,1.5,0.5,1553.9924153285679,1604.8911197971127,0.6248934864997864,-10
301,301,2003,8,10,1,31,1,-5.5,23.75,17.75,146.0,152.25,1.0,15.25,19.75,82.5,230.0,2.0,0.75,30.0,22.0,180.25,182.0,1.5,14.5,18.0,98.0,183.5,2.25,0.5,1654.7324628843146,1642.387177227456,0.11260642856359482,-21
302,302,2003,19,30,28,13,28,-3.5,18.0,19.25,93.5,214.5,1.25,17.0,15.0,53.0,192.75,1.0,0.875,26.25,21.0,115.25,246.25,2.0,24.25,17.0,104.5,174.75,2.25,0.75,1571.0036180487255,1602.0539676784379,0.3680928647518158,17
303,303,2003,27,13,30,37,30,-11.5,12.75,19.5,88.25,232.0,3.0,32.5,18.5,130.25,206.0,0.5,0.25,23.5,18.5,61.25,239.75,3.25,22.75,18.5,146.5,196.25,1.75,0.375,1311.991193864452,1406.8179766755118,0.3224686086177826,-24
304,304,2003,13,23,4,13,4,-3.0,11.0,15.5,100.0,170.25,2.75,15.25,17.0,108.25,202.75,2.0,0.625,25.75,18.5,72.5,211.25,2.0,10.75,19.5,112.5,176.5,2.5,0.625,1636.0619267748646,1527.1466036111608,0.6334092020988464,10
305,305,2003,14,21,12,14,12,-4.5,12.25,18.0,80.25,222.0,2.5,24.25,19.0,138.75,168.75,1.75,0.125,14.0,16.0,99.5,156.5,2.75,17.5,15.75,147.5,167.5,2.25,0.5,1172.5811614628064,1496.674497315463,0.7402543425559998,7
306,306,2003,31,7,18,35,-1,0.0,26.25,19.25,144.5,199.25,1.5,19.5,16.25,57.25,172.5,3.25,0.5,28.75,21.0,159.25,241.0,1.5,21.75,18.5,78.0,222.0,3.0,0.75,1587.6717446665937,1477.3130526714563,0.3199318051338196,-28
